EGID;IDPADR;ADRESSE;COMMUNE;DESTINATION;SOURCE_CHALEUR;NBRE_PRENEUR;DIFC;SOUMIS_AU_CALCUL;PARTICIP_EAU_CHAUDE;CALCUL_SAISON;AVANT_93;ANNEE;SRE;INDICE;CONSOM_TOTALE;CONSO_CORRIGEE;EMISSION_CO2;AGENT_1;QUANTITE_AGENT_1;AGENT_2;QUANTITE_AGENT_2;AGENT_3;QUANTITE_AGENT_3;DATE_SAISIE;SHAPE.AREA;SHAPE.LEN
1016541.0;930225003155.0;Avenue Henri-BORDIER 3;Genève-Petit-Saconnex;Hab plusieurs logements;Avenue Henri-BORDIER 1;6;Non;Oui;0.3;Oui;Oui;2010;493.0;639;315036;315027.0;22997;Mazout. en [litres]. à 36 [MJ / litre];8751;;;;;20100908;132.52405;47.1403979514025
1000609.0;930225012490.0;Avenue de Gennecy 35;Avully;Hab plusieurs logements;Avenue de Gennecy 33;6;Non;Oui;0.3;Oui;Oui;2010;567.0;540;306360;306180.0;22364;Mazout. en [litres]. à 36 [MJ / litre];8510;;;;;20101204;210.93865;58.1781462692859
1002148.0;930225000302.0;Route d'Aire-la-Ville 24;Bernex;Hab plusieurs logements;Route d'Aire-la-Ville 26;16;Non;Oui;0.3;Oui;Oui;2010;1083.0;516;559476;558828.0;40841;Mazout. en [litres]. à 36 [MJ / litre];15541;;;;;20111025;280.22485;68.3012027518683
1026743.0;930225009181.0;Chemin des Deux-Communes 7;Thônex;Habitation - activités;Chemin des Deux-Communes 9;91;Non;Oui;0.33;Oui;Oui;2010;7623.0;627;4780620;4779621.0;348985;Mazout. en [litres]. à 36 [MJ / litre];132795;;;;;20100715;715.97315;108.677769420889
295010158.0;990201145919.0;Chemin de Trémessaz 16;Collonge-Bellerive;Hab plusieurs logements;Chemin de Trémessaz 14;6;Non;Non;0.4;Non;Non;2010;771.0;403;320865;310713.0;17647;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];97232;;;;;20111111;256.3046;68.7601617005349
1008341.0;930225017553.0;Place du Manoir 6;Cologny;Hab. - rez activités;Place du Manoir 10;7;Non;Oui;0.3;Oui;Oui;2010;1172.0;539;632275;631708.0;39625;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];109944;Mazout. en [litres]. à 36 [MJ / litre];7485;;;20100709;293.40085;73.1415646327143
1001582.0;930225034145.0;Chemin des Mollies 24;Bellevue;Habitation un logement;Chemin des Mollies 108;1;Non;Non;0.3;Non;Oui;2009;229.0;631;136944;144499.0;9996;Mazout. en [litres]. à 36 [MJ / litre];3804;;;;;20100517;79.65545;39.980149731698795
3131881.0;931202094653.0;Rue de Bandol 14;Onex;Hab. - rez activités;Rue de Bandol 12;15;Non;;0.3;Oui;Non;2010;1371.0;290;397547;397590.0;21865;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];120469;;;;;20100902;296.10255;73.5883174103334
2039106.0;930225019127.0;Rue du Môle 42BIS;Genève-Cité;Atelier;Rue du Môle 42BIS;13;Non;Oui;0.3;Oui;Oui;2010;1365.0;505;689627;689325.0;37929;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];208978;;;;;20100819;415.62675;88.8662599131095
1022084.0;930225002752.0;Avenue du Bois-de-la-Chapelle 37;Onex;Hab plusieurs logements;Avenue du Bois-de-la-Chapelle 15;15;Non;Oui;0.3;Oui;Oui;2010;1396.0;498;696333;695208.0;24371;CADIOM. en [kWh]. à 3.6 [MJ / kWh];193426;;;;;20111018;346.8647;78.9076256496009
1003514.0;930225034291.0;Rue du Tir-au-Canon 1;Carouge;Hab. - rez activités;Rue du Tir-au-Canon 1;20;Non;Oui;0.3;Oui;Oui;2010;1617.0;533;863208;861861.0;63014;Mazout. en [litres]. à 36 [MJ / litre];23978;;;;;20110802;176.8179;56.42322294539039
1011891.0;930225018006.0;Rue MARIGNAC 1;Genève-Plainpalais;Hab plusieurs logements;;22;Non;Oui;0.3;Oui;Oui;2010;2251.0;442;995904;994942.0;72700;Mazout. en [litres]. à 36 [MJ / litre];27664;;;;;20100729;318.60685;74.1828770357365
2038331.0;930225026644.0;Rue de Savoie 7A;Genève-Eaux-Vives;Bureaux;;6;Non;Oui;0.15;Oui;Oui;2010;660.0;489;323254;322740.0;17779;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];97956;;;;;20110415;251.15725;78.10113734962509
2034626.0;930225044538.0;Chemin du Jura 17;Bernex;Hab plusieurs logements;;6;Non;Oui;0.3;Oui;Oui;2010;710.0;480;341256;340800.0;18769;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];103411;;;;;20110310;210.4916;65.17174973740501
